                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.59236,                0.46648,                 1.0533,                0.59657,                0.44622,                0.44155,                0.33499,                 1.3102,                 1.7047,                  1.491,             0.00041257,             0.00041257,             0.00041257
                    129,                0.58403,                0.46518,                 1.0466,                 0.5969,                0.43943,                0.43969,                0.33313,                 1.3129,                 1.7055,                 1.4962,             0.00040707,             0.00040707,             0.00040707
                    130,                0.59671,                0.47434,                 1.0617,                0.52267,                0.46367,                0.43583,                0.33147,                 1.3336,                 1.7146,                  1.512,             0.00040157,             0.00040157,             0.00040157
                    131,                 0.6002,                0.48113,                 1.0595,                0.56501,                 0.4457,                0.43808,                 0.3365,                 1.3053,                 1.6495,                 1.4925,             0.00039607,             0.00039607,             0.00039607
                    132,                0.58183,                0.46939,                 1.0524,                0.59089,                0.44756,                0.44051,                0.33532,                 1.3359,                 1.7154,                 1.5063,             0.00039057,             0.00039057,             0.00039057
                    133,                0.57711,                0.46397,                 1.0432,                0.54742,                0.45604,                0.43988,                0.33447,                 1.3265,                 1.6987,                 1.5004,             0.00038507,             0.00038507,             0.00038507
                    134,                0.58702,                0.45747,                  1.051,                 0.5713,                0.45641,                0.44072,                0.33577,                 1.3317,                 1.7155,                 1.5105,             0.00037957,             0.00037957,             0.00037957
                    135,                 0.5753,                 0.4454,                  1.042,                0.50635,                0.46782,                 0.4324,                0.33627,                  1.334,                 1.7526,                 1.5357,             0.00037407,             0.00037407,             0.00037407
                    136,                 0.5727,                0.44676,                 1.0369,                0.57381,                0.44834,                0.44516,                0.33832,                 1.3146,                  1.731,                 1.5151,             0.00036857,             0.00036857,             0.00036857
                    137,                0.57774,                0.45027,                 1.0471,                0.55481,                0.46292,                0.43646,                0.33185,                  1.318,                 1.7266,                 1.4985,             0.00036307,             0.00036307,             0.00036307
                    138,                0.56818,                0.45028,                 1.0388,                0.56997,                0.44655,                0.44428,                0.33318,                 1.3323,                   1.74,                 1.5084,             0.00035758,             0.00035758,             0.00035758
                    139,                0.56948,                0.46002,                 1.0436,                0.58805,                0.44822,                0.44339,                0.33469,                 1.3144,                 1.7075,                 1.5061,             0.00035208,             0.00035208,             0.00035208
                    140,                0.56918,                0.44556,                 1.0403,                0.57197,                0.46206,                0.45196,                0.34092,                  1.311,                 1.7231,                 1.4842,             0.00034658,             0.00034658,             0.00034658
                    141,                0.56961,                0.44284,                 1.0393,                 0.5747,                0.47226,                0.44679,                 0.3357,                  1.318,                 1.6454,                  1.509,             0.00034108,             0.00034108,             0.00034108
                    142,                 0.5573,                0.44424,                 1.0372,                0.57886,                0.45463,                0.44951,                0.33913,                 1.3089,                 1.6762,                 1.4889,             0.00033558,             0.00033558,             0.00033558
                    143,                0.56118,                0.43842,                   1.03,                0.53988,                0.47737,                0.45331,                0.34225,                 1.2948,                 1.7035,                 1.4851,             0.00033008,             0.00033008,             0.00033008
                    144,                0.55909,                0.43834,                  1.033,                0.52488,                0.46717,                0.44491,                0.33754,                 1.3202,                 1.7484,                 1.4815,             0.00032458,             0.00032458,             0.00032458
                    145,                0.56487,                0.44248,                 1.0288,                0.55263,                0.46993,                0.44579,                0.33654,                 1.3055,                  1.684,                 1.4825,             0.00031908,             0.00031908,             0.00031908
                    146,                0.54969,                0.43244,                 1.0281,                0.54873,                0.46096,                0.44063,                0.33234,                 1.3207,                 1.7192,                 1.5037,             0.00031358,             0.00031358,             0.00031358
                    147,                0.55111,                0.44147,                  1.029,                0.55251,                0.46839,                0.44854,                0.34338,                 1.3051,                 1.6867,                 1.4979,             0.00030808,             0.00030808,             0.00030808
                    148,                0.55227,                0.42734,                 1.0317,                0.53736,                0.47562,                0.45102,                 0.3462,                 1.2986,                 1.7174,                 1.4892,             0.00030258,             0.00030258,             0.00030258
                    149,                0.54839,                0.42671,                 1.0236,                0.52559,                0.47927,                0.43863,                0.33787,                 1.2979,                 1.7024,                 1.4697,             0.00029708,             0.00029708,             0.00029708
                    150,                0.55064,                0.42706,                  1.031,                0.54068,                0.47387,                0.43706,                0.33445,                 1.2884,                 1.7575,                 1.4697,             0.00029158,             0.00029158,             0.00029158
                    151,                0.55275,                0.43868,                 1.0317,                0.55333,                0.46497,                0.44259,                0.33732,                 1.3052,                  1.691,                 1.4957,             0.00028608,             0.00028608,             0.00028608
                    152,                0.53777,                0.42597,                 1.0267,                0.56543,                0.45872,                0.45452,                0.34113,                 1.3123,                 1.7568,                 1.4952,             0.00028058,             0.00028058,             0.00028058
                    153,                  0.544,                0.42397,                 1.0238,                0.60582,                0.44105,                0.45383,                0.34633,                 1.3176,                 1.7538,                 1.5051,             0.00027508,             0.00027508,             0.00027508
                    154,                0.54008,                 0.4154,                 1.0193,                0.56732,                0.46073,                0.44683,                0.33745,                 1.3225,                 1.7127,                 1.5116,             0.00026958,             0.00026958,             0.00026958
                    155,                0.53449,                0.41468,                 1.0178,                0.54073,                0.47584,                0.45214,                0.34092,                 1.3247,                  1.758,                   1.53,             0.00026408,             0.00026408,             0.00026408
                    156,                0.53488,                0.41727,                 1.0199,                0.53392,                0.47081,                0.44593,                0.34043,                 1.3025,                 1.7374,                  1.501,             0.00025859,             0.00025859,             0.00025859
                    157,                0.53724,                0.41554,                 1.0255,                0.56992,                0.44737,                0.44417,                0.33842,                 1.3058,                 1.7323,                 1.5239,             0.00025309,             0.00025309,             0.00025309
                    158,                0.53277,                0.41593,                  1.019,                0.56932,                0.47187,                0.45114,                 0.3367,                 1.3264,                 1.7274,                 1.5466,             0.00024759,             0.00024759,             0.00024759
                    159,                0.51884,                0.40859,                 1.0089,                0.57865,                0.46003,                0.44859,                0.33818,                 1.2999,                 1.7167,                 1.5286,             0.00024209,             0.00024209,             0.00024209
                    160,                0.53041,                0.40907,                 1.0151,                0.57014,                0.43884,                0.43932,                0.33674,                 1.3134,                  1.748,                 1.5307,             0.00023659,             0.00023659,             0.00023659
                    161,                0.53505,                0.41263,                 1.0168,                0.58871,                0.44842,                0.44128,                0.33781,                 1.3114,                 1.7868,                 1.5327,             0.00023109,             0.00023109,             0.00023109
                    162,                0.52275,                0.40639,                  1.014,                0.59246,                0.45592,                0.44981,                0.33919,                 1.3102,                 1.7555,                 1.5356,             0.00022559,             0.00022559,             0.00022559
                    163,                0.52333,                0.40585,                 1.0186,                 0.5893,                 0.4576,                0.45041,                0.34217,                 1.3071,                 1.7247,                 1.5307,             0.00022009,             0.00022009,             0.00022009
                    164,                 0.5181,                0.39464,                 1.0055,                0.56922,                0.45248,                0.44788,                0.33962,                 1.3064,                 1.7589,                 1.5218,             0.00021459,             0.00021459,             0.00021459
                    165,                0.52825,                0.40834,                 1.0201,                0.59572,                0.43932,                0.44732,                0.34283,                 1.2805,                 1.7178,                 1.4957,             0.00020909,             0.00020909,             0.00020909
                    166,                0.51423,                0.39622,                 1.0054,                0.56073,                0.45428,                0.44635,                0.33998,                 1.2933,                  1.732,                 1.5148,             0.00020359,             0.00020359,             0.00020359
